1656,38
1657,9
1658,117
1659,660
1660,659
1661,11
1662,11
1663,661
1664,660
1665,343
1666,10
1667,16
1668,660
1669,660
1670,17
1671,10
1672,254
1673,660
1674,661
1675,11
1676,11
1677,660
1678,661
1679,194
1680,8
1681,18
1682,660
1683,661
1684,13
1685,10
1686,539
1687,660
1688,646
1689,10
1690,12
1691,660
1692,660
1693,19
1694,9
1695,171
1696,660
1697,661
1698,13
1699,12
1700,661
1701,659
1702,241
1703,9
1704,19
1705,660
1706,659
1707,15
1708,11
1709,471
1710,659
1711,558
1712,11
1713,14
1714,661
1715,661
1716,22
1717,10
1718,100
1719,660
1720,660
1721,12
1722,10
1723,660
1724,660
1725,315
1726,10
1727,15
1728,660
1729,661
1730,15
1731,9
1732,436
1733,660
1734,660
1735,9
1736,12
1737,661
1738,660
1739,25
1740,10
1741,45
1742,660
1743,660
1744,12
1745,11
1746,660
1747,659
1748,316
1749,11
1750,17
1751,661
1752,661
1753,16
1754,11
1755,361
1756,660
1757,660
1758,12
1759,12
1760,661
1761,660
1762,203
1763,10
1764,20
1765,661
1766,660
1767,13
1768,10
1769,452
1770,660
1771,659
1772,11
1773,12
1774,660
1775,661
1776,40
1777,9
1778,56
1779,659
1780,661
1781,11
1782,9
1783,659
1784,660
1785,399
1786,10
1787,15
1788,660
1789,661
1790,18
1791,10
1792,236
1793,660
1794,660
1795,12
1796,11
1797,660
1798,660
1799,243
1800,10
1801,22
1802,659
1803,660
1804,16
1805,11
1806,437
1807,660
1808,624
1809,11
1810,13
1811,661
1812,661
1813,29
1814,10
1815,131
1816,660
1817,661
1818,13
1819,12
1820,660
1821,660
1822,307
1823,11
1824,19
1825,660
1826,660
1827,15
1828,9
1829,403
1830,661
1831,657
1832,12
1833,14
1834,660
1835,660
1836,123
1837,11
1838,39
1839,660
1840,661
1841,13
1842,12
1843,554
1844,659
1845,437
1846,12
1847,14
1848,661
1849,661
1850,20
1851,11
1852,203
1853,660
1854,660
1855,12
1856,10
1857,660
1858,660
1859,322
1860,11
1861,18
1862,660
1863,660
1864,14
1865,10
1866,409
1867,661
1868,660
1869,11
1870,12
1871,660
1872,659
1873,50
1874,9
1875,31
1876,660
1877,660
1878,11
1879,10
1880,660
1881,661
1882,321
1883,10
1884,18
1885,661
1886,660
1887,14
1888,9
1889,394
1890,660
1891,660
1892,10
1893,13
1894,660
1895,660
1896,81
1897,10
1898,37
1899,661
1900,661
1901,14
1902,11
1903,631
1904,660
1905,412
1906,10
1907,13
1908,659
1909,660
1910,19
1911,10
1912,228
1913,659
1914,660
1915,12
1916,12
1917,661
1918,659
1919,163
1920,10
1921,29
1922,660
1923,660
1924,14
1925,12
1926,527
1927,660
1928,535
1929,11
1930,13
1931,660
1932,661
1933,23
1934,10
1935,92
1936,659
1937,660
1938,13
1939,10
1940,659
1941,659
1942,259
1943,11
1944,18
1945,661
1946,661
1947,14
1948,10
1949,411
1950,661
1951,661
1952,11
1953,12
1954,659
1955,660
1956,27
1957,10
1958,96
1959,660
1960,660
1961,13
1962,12
1963,661
1964,660
1965,369
1966,11
1967,17
1968,660
1969,659
1970,15
1971,10
1972,350
1973,660
1974,660
1975,11
1976,11
1977,660
1978,660
1979,161
1980,10
1981,23
1982,660
1983,661
1984,14
1985,10
1986,446
1987,659
1988,591
1989,11
1990,13
1991,660
1992,660
1993,20
1994,10
1995,160
1996,661
1997,660
1998,12
1999,11
2000,661
2001,660
2002,344
2003,10
2004,18
2005,660
2006,660
2007,16
2008,10
2009,379
2010,660
2011,660
2012,11
2013,14
2014,661
2015,660
2016,76
2017,10
2018,41
2019,660
2020,661
2021,14
2022,11
2023,614
2024,661
2025,526
2026,11
2027,14
2028,660
2029,661
2030,21
2031,10
2032,185
2033,661
2034,661
2035,12
2036,12
2037,660
2038,660
2039,218
2040,10
2041,19
2042,659
2043,661
2044,15
2045,10
2046,418
2047,660
2048,661
2049,11
2050,12
2051,661
2052,660
